available_checkpoints,batch_size,best_epoch,best_val_acc,best_val_dqn_proxy_expanded5,best_val_dqn_proxy_softmax3,best_val_macro_f1,best_val_metric,cache_len,cache_root,checkpoint_tags,class_weight_mode,config_path,dataset_tag,early_stopping_mode,entropy_loss_weight,epochs,family_tag,grad_clip_norm,has_config,has_history,has_summary,history_lr_best,history_lr_last,history_lr_len,history_path,history_train_loss_best,history_train_loss_last,history_train_loss_len,history_val_acc_best,history_val_acc_last,history_val_acc_len,history_val_dqn_proxy_expanded5_best,history_val_dqn_proxy_expanded5_last,history_val_dqn_proxy_expanded5_len,history_val_dqn_proxy_softmax3_best,history_val_dqn_proxy_softmax3_last,history_val_dqn_proxy_softmax3_len,history_val_loss_best,history_val_loss_last,history_val_loss_len,history_val_macro_f1_best,history_val_macro_f1_last,history_val_macro_f1_len,known_pa_names,label_smoothing,lambda_center,lr,mlp_dropout,model_selection_metric,n_checkpoints,noise_tag,open_conf_selection_metric,paper_set,pas,protocols,result_root,run_dir,run_name,scheduler_name,seed,source_name,source_type,split_mode,summary_path,task,test_dqn_proxy_expanded5,test_dqn_proxy_softmax3,test_energy_auroc,test_entropy_auroc,test_expanded5_mean_auroc,test_known_acc,test_known_macro_f1,test_logit_variance_auroc,test_p1p2_auroc,test_pmax_auroc,test_softmax3_mean_auroc,unknown_pa_names,unknown_pas,weight_decay
,16,17,0.9944444444444445,,,0.9944437584887023,,8192,,"[""best_model""]",,results_pa_baseline/23-07_04-21-26_c8192_lr5e4_bs16_lc01_wd0/config.json,,,,40,,,True,True,True,,,,results_pa_baseline/23-07_04-21-26_c8192_lr5e4_bs16_lc01_wd0/history.json,0.9231027285257976,0.38931499662853425,25,0.9944444444444445,0.9916666666666667,25,,,,,,,0.4357696990172068,0.09904755072461234,25,0.9944437584887023,0.9916643512086691,25,,,0.1,0.0005,,,1,,,,,,results_pa_baseline,results_pa_baseline/23-07_04-21-26_c8192_lr5e4_bs16_lc01_wd0,c8192_lr5e4_bs16_lc01_wd0,,0,,,closed,results_pa_baseline/23-07_04-21-26_c8192_lr5e4_bs16_lc01_wd0/summary.json,pa,,,,,,,,,,,,,,0.0
,8,18,0.9944444444444445,,,0.9944437584887023,,8192,,"[""best_model""]",,results_pa_baseline/23-08_04-21-26_c8192_lr5e4_bs8_lc01_wd1e5/config.json,,,,40,,,True,True,True,,,,results_pa_baseline/23-08_04-21-26_c8192_lr5e4_bs8_lc01_wd1e5/history.json,0.9177461053643908,0.3850027024745941,26,0.9944444444444445,0.9916666666666667,26,,,,,,,0.34336990581618415,0.09464359962277942,26,0.9944437584887023,0.991666409457082,26,,,0.1,0.0005,,,1,,,,,,results_pa_baseline,results_pa_baseline/23-08_04-21-26_c8192_lr5e4_bs8_lc01_wd1e5,c8192_lr5e4_bs8_lc01_wd1e5,,0,,,closed,results_pa_baseline/23-08_04-21-26_c8192_lr5e4_bs8_lc01_wd1e5/summary.json,pa,,,,,,,,,,,,,,1e-05
,8,5,0.9944444444444445,,,0.9944437584887023,,8192,,"[""best_model""]",,results_pa_baseline/End OF 1st IT 23-10_04-21-26_c8192_lr5e4_bs8_lc01_wd1e4/config.json,,,,40,,,True,True,True,,,,results_pa_baseline/End OF 1st IT 23-10_04-21-26_c8192_lr5e4_bs8_lc01_wd1e4/history.json,0.9424129752885728,0.41820351978143055,13,0.9944444444444445,0.9805555555555555,13,,,,,,,0.47566083470980325,0.14316300402084986,13,0.9944437584887023,0.9805405405405405,13,,,0.1,0.0005,,,1,,,,,,results_pa_baseline,results_pa_baseline/End OF 1st IT 23-10_04-21-26_c8192_lr5e4_bs8_lc01_wd1e4,c8192_lr5e4_bs8_lc01_wd1e4,,0,,,closed,results_pa_baseline/End OF 1st IT 23-10_04-21-26_c8192_lr5e4_bs8_lc01_wd1e4/summary.json,pa,,,,,,,,,,,,,,0.0001
,16,17,0.9916666666666667,,,0.9916643512086691,,4096,,"[""best_model""]",,results_pa_cache_sweep/01-10_04-22-26_c4096_bs16_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,True,True,,,,results_pa_cache_sweep/01-10_04-22-26_c4096_bs16_lr5e4_lc01_wd0_seed0/history.json,0.8796398957570394,0.38322561496780033,25,0.9916666666666667,0.9916666666666667,25,,,,,,,0.23880289925469292,0.10738354325294494,25,0.9916643512086691,0.9916643512086691,25,,,0.1,0.0005,,,1,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/01-10_04-22-26_c4096_bs16_lr5e4_lc01_wd0_seed0,c4096_bs16_lr5e4_lc01_wd0_seed0,,0,,,closed,results_pa_cache_sweep/01-10_04-22-26_c4096_bs16_lr5e4_lc01_wd0_seed0/summary.json,pa,,,,,,,,,,,,,,0.0
,16,11,0.9972222222222222,,,0.997222136485694,,8192,,"[""best_model""]",,results_pa_cache_sweep/01-11_04-22-26_c8192_bs16_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,True,True,,,,results_pa_cache_sweep/01-11_04-22-26_c8192_bs16_lr5e4_lc01_wd0_seed0/history.json,0.925315427212488,0.3981407193910508,19,0.9972222222222222,0.9972222222222222,19,,,,,,,0.3626994960837894,0.09571951578060786,19,0.997222136485694,0.997222136485694,19,,,0.1,0.0005,,,1,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/01-11_04-22-26_c8192_bs16_lr5e4_lc01_wd0_seed0,c8192_bs16_lr5e4_lc01_wd0_seed0,,0,,,closed,results_pa_cache_sweep/01-11_04-22-26_c8192_bs16_lr5e4_lc01_wd0_seed0/summary.json,pa,,,,,,,,,,,,,,0.0
,16,8,1.0,,,1.0,,16384,,"[""best_model""]",,results_pa_cache_sweep/02-38_04-22-26_c16384_bs16_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,True,True,,,,results_pa_cache_sweep/02-38_04-22-26_c16384_bs16_lr5e4_lc01_wd0_seed0/history.json,0.8718543296768552,0.4006340211346036,16,1.0,0.9944444444444445,16,,,,,,,0.2848747279908922,0.0988970677057902,16,1.0,0.9944437584887023,16,,,0.1,0.0005,,,1,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/02-38_04-22-26_c16384_bs16_lr5e4_lc01_wd0_seed0,c16384_bs16_lr5e4_lc01_wd0_seed0,,0,,,closed,results_pa_cache_sweep/02-38_04-22-26_c16384_bs16_lr5e4_lc01_wd0_seed0/summary.json,pa,,,,,,,,,,,,,,0.0
,16,,,,,,,32768,,[],,results_pa_cache_sweep/04-05_04-22-26_c32768_bs16_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0005,,,0,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/04-05_04-22-26_c32768_bs16_lr5e4_lc01_wd0_seed0,c32768_bs16_lr5e4_lc01_wd0_seed0,,0,,,closed,,pa,,,,,,,,,,,,,,0.0
,16,5,0.9972222222222222,,,0.997222136485694,,4096,,"[""best_model""]",,results_pa_cache_sweep/05-11_04-22-26_c4096_bs16_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,True,True,,,,results_pa_cache_sweep/05-11_04-22-26_c4096_bs16_lr5e4_lc01_wd0_seed0/history.json,0.8606256008148193,0.4453112094175248,13,0.9972222222222222,0.9777777777777777,13,,,,,,,0.21010208162996505,0.14531464179356893,13,0.997222136485694,0.9777337951509154,13,,,0.1,0.0005,,,1,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/05-11_04-22-26_c4096_bs16_lr5e4_lc01_wd0_seed0,c4096_bs16_lr5e4_lc01_wd0_seed0,,0,,,closed,results_pa_cache_sweep/05-11_04-22-26_c4096_bs16_lr5e4_lc01_wd0_seed0/summary.json,pa,,,,,,,,,,,,,,0.0
,16,7,0.9944444444444445,,,0.9944437584887023,,8192,,"[""best_model""]",,results_pa_cache_sweep/05-11_04-22-26_c8192_bs16_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,True,True,,,,results_pa_cache_sweep/05-11_04-22-26_c8192_bs16_lr5e4_lc01_wd0_seed0/history.json,0.8934464156627655,0.4115032389050438,15,0.9944444444444445,0.9888888888888889,15,,,,,,,0.3077614188194275,0.10401758667495516,15,0.9944437584887023,0.9888875169774046,15,,,0.1,0.0005,,,1,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/05-11_04-22-26_c8192_bs16_lr5e4_lc01_wd0_seed0,c8192_bs16_lr5e4_lc01_wd0_seed0,,0,,,closed,results_pa_cache_sweep/05-11_04-22-26_c8192_bs16_lr5e4_lc01_wd0_seed0/summary.json,pa,,,,,,,,,,,,,,0.0
,16,6,1.0,,,1.0,,16384,,"[""best_model""]",,results_pa_cache_sweep/05-12_04-22-26_c16384_bs16_lr5e4_lc01_wd0_seed0/config.json,,,,40,,,True,True,True,,,,results_pa_cache_sweep/05-12_04-22-26_c16384_bs16_lr5e4_lc01_wd0_seed0/history.json,0.8661762793858846,0.4099533790633792,14,1.0,1.0,14,,,,,,,0.368508466747072,0.09064358621835708,14,1.0,1.0,14,,,0.1,0.0005,,,1,,,,,,results_pa_cache_sweep,results_pa_cache_sweep/05-12_04-22-26_c16384_bs16_lr5e4_lc01_wd0_seed0,c16384_bs16_lr5e4_lc01_wd0_seed0,,0,,,closed,results_pa_cache_sweep/05-12_04-22-26_c16384_bs16_lr5e4_lc01_wd0_seed0/summary.json,pa,,,,,,,,,,,,,,0.0
