run_name	paper_set	family_tag	unknown_pa	seed	gpu	cfg_path	save_root
distinct_smoke_ent005_lr2e4_unkPA1_c16384_seed0	DISTINCT	smoke_ent005_lr2e4	PA1	0	1	manifests/configs/smoke_2run_manifest/distinct_smoke_ent005_lr2e4_unkPA1_c16384_seed0.json	results_pa_smoke
distinct_smoke_ent005_lr2e4_unkPA1_c16384_seed1	DISTINCT	smoke_ent005_lr2e4	PA1	1	1	manifests/configs/smoke_2run_manifest/distinct_smoke_ent005_lr2e4_unkPA1_c16384_seed1.json	results_pa_smoke
